N,Run,Theta_NO,Theta_BH,T_NO,T_BH,Total_NO,Total_BH
10,0,9.989999671233818e-05,0.0009045999977388419,0.008522299998730887,0.0002719999974942766,0.008622199995443225,0.0011765999952331185
10,1,5.6400000175926834e-05,0.0009021000005304813,0.006587099996977486,0.0015720999945187941,0.0066434999971534126,0.0024741999950492755
10,2,0.00011850000009872019,0.0011302000057185069,0.00986929999635322,0.0071749000053387135,0.00998779999645194,0.00830510001105722
10,3,5.339999916031957e-05,0.0008071999982348643,0.009783900000911672,0.0009843999941949733,0.009837300000071991,0.0017915999924298376
10,4,3.85999956051819e-05,0.000884000000951346,0.009029500004544389,0.0024732000019866973,0.00906810000014957,0.0033572000029380433
10,5,3.3399999665562063e-05,0.0011143000010633841,0.009386500001710374,0.0029356000013649464,0.009419900001375936,0.0040499000024283305
10,6,3.619999915827066e-05,0.0019570000004023314,0.014182599996274803,0.00567600000067614,0.014218799995433073,0.0076330000010784715
10,7,3.699999797390774e-05,0.0011947000020882115,0.011891100002685562,0.0016568999999435619,0.01192810000065947,0.0028516000020317733
10,8,3.68999972124584e-05,0.0009059999938472174,0.009071599997696467,0.000811400001111906,0.009108499994908925,0.0017173999949591234
10,9,2.6200003048870713e-05,0.0019492999999783933,0.009586500003933907,0.0019176000059815124,0.009612700006982777,0.0038669000059599057
10,10,2.3500004317611456e-05,0.0005977000037091784,0.004739000003610272,0.00035599999682744965,0.004762500007927883,0.0009537000005366281
10,11,2.8599999495781958e-05,0.0008575999963795766,0.009079000003112014,0.002099500001349952,0.009107600002607796,0.0029570999977295287
10,12,5.01000031363219e-05,0.0006701000020257197,0.007871500005421694,0.001237800002854783,0.007921600008558016,0.0019079000048805028
10,13,2.0899999071843922e-05,0.0006844000017736107,0.006521900002553593,0.0015944000042509288,0.006542800001625437,0.0022788000060245395
10,14,3.730000025825575e-05,0.0008968000038294122,0.01030460000038147,0.0016561999946134165,0.010341900000639725,0.0025529999984428287
10,15,3.170000127283856e-05,0.0008615999977337196,0.005951900006039068,0.0018434000012348406,0.005983600007311907,0.0027049999989685602
10,16,2.7599999157246202e-05,0.0011395999972592108,0.009429899997485336,0.0025051999982679263,0.009457499996642582,0.003644799995527137
10,17,6.0399994254112244e-05,0.0006827999968663789,0.006309299998974893,0.002543299997341819,0.0063696999932290055,0.003226099994208198
10,18,2.3099993995856494e-05,0.0008837999994284473,0.003912300002411939,0.002175800000259187,0.003935399996407796,0.0030595999996876344
10,19,2.0600004063453525e-05,0.0010743000020738691,0.006984699997701682,0.0015444000018760562,0.007005300001765136,0.0026187000039499253
10,20,2.9100003303028643e-05,0.0009410999991814606,0.006441699995775707,0.003159100000630133,0.006470799999078736,0.0041001999998115934
10,21,2.5500004994682968e-05,0.0009324999991804361,0.008945800000219606,0.0014202000020304695,0.008971300005214289,0.0023527000012109056
10,22,2.479999966453761e-05,0.0009528000009595416,0.007327900006202981,0.0010079000057885423,0.0073527000058675185,0.001960700006748084
10,23,2.729999687289819e-05,0.0008207000064430758,0.007767199997033458,0.0021990000022924505,0.007794499993906356,0.0030197000087355264
10,24,2.9100003303028643e-05,0.0008671000032336451,0.00784840000414988,0.0021726999984821305,0.007877500007452909,0.0030398000017157756
10,25,2.2499996703118086e-05,0.0005560999998124316,0.006270500001846813,0.0013789000004180707,0.006292999998549931,0.0019350000002305023
10,26,1.4699995517730713e-05,0.0006969000023673289,0.007271000002219807,0.0015034999960334972,0.007285699997737538,0.002200399998400826
10,27,4.5900000259280205e-05,0.0014871999956085347,0.010012200000346638,0.0028125999961048365,0.010058100000605918,0.004299799991713371
